name,email
erin5_0,erin5_0@example.com
,alice5_1@college.edu
,carol5_2@college.edu
erin5_3,erin5_3@example.com
grace5_4,grace5_4@college.edu
bob5_5,bob5_5@gmail.com
frank5_6,frank5_6@gmail.com
carol5_7,carol5_7@gmail.com
heidi5_8,heidi5_8@gmail.com
grace5_9,grace5_9@college.edu
,bob5_10@gmail.com
grace5_11,grace5_11@college.edu
alice5_12,alice5_12@college.edu
heidi5_13,heidi5_13@gmail.com
,frank5_14@college.edu
alice5_15,alice5_15@example.com
carol5_16,carol5_16@gmail.com
heidi5_17,heidi5_17@example.com
dave5_18,dave5_18[at]gmail.com
grace5_19,grace5_19@example.com
bob5_20,bob5_20@gmail.com
carol5_21,carol5_21@gmail.com
erin5_22,erin5_22@college.edu
grace5_23,grace5_23@gmail.com
dave5_24,dave5_24@gmail.com
grace5_25,grace5_25@example.com
carol5_26,carol5_26@example.com
grace5_27,grace5_27@gmail.com
erin5_28,erin5_28@example.com
erin5_29,erin5_29@college.edu
heidi5_30,heidi5_30@example.com
heidi5_31,heidi5_31@gmail.com
grace5_32,grace5_32@gmail.com
dave5_33,dave5_33@college.edu
grace5_34,grace5_34@example.com
grace5_35,grace5_35@example.com
heidi5_36,heidi5_36@college.edu
grace5_37,grace5_37@gmail.com
carol5_38,carol5_38@gmail.com
carol5_39,carol5_39@college.edu
frank5_40,frank5_40@example.com
heidi5_41,heidi5_41@example.com
heidi5_42,heidi5_42@example.com
grace5_43,grace5_43@college.edu
bob5_44,bob5_44@gmail.com
erin5_45,erin5_45@gmail.com
grace5_46,grace5_46@college.edu
,frank5_47@gmail.com
heidi5_48,heidi5_48@college.edu
bob5_49,bob5_49[at]college.edu
